Organism	Genotype	Biomaterial Type	Sample Name	Trim/Raw	VK_Best_Kmer	VK_Command
Globodera rostochiensis 	QC strain, pathotype Ro1	Genomic	S00141B 	trim	35	./velvetk.pl --size 100000000 --best ../../processing_test/D_dipsaci/DNA/Ddi_S00141A/data//S00141A_NoIndex_L006_trim_7-0-0_R1.fq ../../processing_test/D_dipsaci/DNA/Ddi_S00141A/data//S00141A_NoIndex_L006_trim_7-0-0_R2.fq
Ditylenchus destructor		Genomic	S00141C 	raw	41	./velvetk.pl --size 100000000 --best /isilon/biodiversity/data/raw/illumina/PBI/Project_D20DTACXX/S00141B_NoIndex_L007_R1.fq /isilon/biodiversity/data/raw/illumina/PBI/Project_D20DTACXX/S00141B_NoIndex_L007_R2.fq
Ditylenchus destructor		Genomic	S00141C 	trim	35	./velvetk.pl --size 100000000 --best ../../processing_test/G_rostochiensis/DNA/Gr_S00141B/data//S00141B_NoIndex_L007_trim_4-0-0_R1.fq ../../processing_test/G_rostochiensis/DNA/Gr_S00141B/data//S00141B_NoIndex_L007_trim_8-0-0_R2.fq
Pantoea ananatis 	strain LMG 2665	Genomic	S0016FD 			
Pantoea ananatis 	strain LMG 2665	Genomic	S0016FD 			
Globodera rostochiensis	QC strain, pathotype Ro1	Genomic	S0016FE 			
Globodera rostochiensis	QC strain, pathotype Ro1	Genomic	S0016FE 			
Penicillium nordicum	strain DAOM 185683	Genomic	S0016FF 			
Penicillium nordicum	strain DAOM 185683	Genomic	S0016FF 			
Ditylenchus dipsaci		Genomic	S001700 			
Ditylenchus dipsaci		Genomic	S001700 			
Penicillium verrucosum 	strain DAOM 213195	Genomic	S001701 			
Penicillium verrucosum 	strain DAOM 213195	Genomic	S001701 			
Penicillium verrucosum 	strain DAOM 214801	Genomic	S001702 			
Penicillium verrucosum 	strain DAOM 214801	Genomic	S001702 			
Globodera rostochiensis	 QC strain, pathotype Ro1	Genomic	S001703 			
Globodera rostochiensis	 QC strain, pathotype Ro1	Genomic	S001703 			
Ditylenchus dipsaci		Genomic	S001705 			
Ditylenchus dipsaci		Genomic	S001705 			
Synchytrium endobioticum 	2012 PEI outbreak, unknown pathotype	Genomic	S001707			
Synchytrium endobioticum 	2012 PEI outbreak, unknown pathotype	Genomic	S001707			
Tilletia indica	DAOM 236416	Genomic	S001710 			
Tilletia indica	DAOM 236416	Genomic	S001710 			
Tilletia caries	DAOM 238032	Genomic	S001711 			
Tilletia caries	DAOM 238032	Genomic	S001711 			
Tilletia controversa	DAOM 236426	Genomic	S001712 			
Tilletia controversa	DAOM 236426	Genomic	S001712 			
Penicillium verrucosum	KAS 4260	Genomic	S001714 			
Penicillium verrucosum	KAS 4260	Genomic	S001714 			
Penicillium verrucosum 	KAS 4260	Genomic	S001715 			
Penicillium verrucosum 	KAS 4260	Genomic	S001715 			
Synchytrium endobioticum	mixed strains from Newfoundland	Genomic	S00171C 			
Synchytrium endobioticum	mixed strains from Newfoundland	Genomic	S00171C 			
Ditylenchus destructor 		Genomic	S00171D 			
Ditylenchus destructor 		Genomic	S00171D 			
